v_4,v_3,v_2,v_1,v_0,f_1,f_2,f_3,f_4,"w_1,1","w_1,2","w_1,3","w_1,4","w_2,1","w_2,2","w_2,3","w_2,4","w_3,1","w_3,2","w_3,3","w_3,4","w_4,1","w_4,2","w_4,3","w_4,4",CycleLenMSQ,NumAttractors,GenotypeCount,Robustness_std,Robustness_mean,Evolvability
1,0,0,0,0,0100111111011111,0000000011101010,0100110100000100,0000111000001010,1,-2,1,-2,-2,-1,-3,-1,3,-1,3,3,2,3,-3,-1,2.5,2,60,0.013643668544714237,0.03680555555555556,100
1,0,0,0,0,0100111111111111,0000000011101010,0100110100000100,0000111000001010,1,-2,1,-2,-2,-1,-3,-1,3,-1,3,3,3,3,-3,-1,2.5,2,72,0.0143163389778391,0.045138888888888895,103
1,0,0,0,0,0100111111111111,0000000011101010,0100110100000100,0000110000001000,1,-2,1,-2,-2,-1,-3,-3,3,-1,3,3,3,3,-3,-2,2.5,2,360,0.014910354551099923,0.0576388888888889,109
1,0,0,0,0,0100111111111111,0000000011101010,0100110100000100,0000110010001100,1,-2,1,-1,-2,-1,-3,-3,3,-1,3,2,3,3,-3,1,1.0,2,72,0.0143163389778391,0.045138888888888895,101
1,0,0,0,0,0100111111111111,0000100011101111,0100110100000100,0000110000001000,1,-2,1,-2,-2,-2,-3,-3,3,2,3,3,3,3,-3,-2,5.0,2,1440,0.014910354551099923,0.0576388888888889,117
1,0,0,0,0,0100111111111111,0000100011101111,0100110101001100,0000110000001000,1,-2,2,-2,-2,-2,-3,-3,3,2,2,3,3,3,-1,-2,5.0,2,120,0.007316426217258846,0.03333333333333333,102
1,0,0,0,0,0000111011101111,0000100011101111,0100110101001100,0000110000001000,-2,-2,2,-2,-2,-2,-3,-3,3,2,2,3,3,3,-1,-2,1.0,1,80,0.008462540004829126,0.02291666666666667,99
1,0,0,0,0,0000110011001110,0000100011101111,0100110101001100,0000110000001000,-1,-2,2,-2,-3,-2,-3,-3,2,2,2,3,2,3,-1,-2,1.0,1,20,0.004166666666666667,0.012499999999999999,86
1,0,0,0,0,0000110000001100,0000100011101111,0100110101001100,0000110000001000,-2,-2,2,-2,-3,-2,-3,-3,3,2,2,3,0,3,-1,-2,1.0,1,300,0.013393959390267994,0.04583333333333334,99
1,0,0,0,0,0000110000001100,0000100011001110,0100110101001100,0000110000001000,-2,-2,2,-2,-3,-3,-3,-3,3,1,2,3,0,3,-1,-2,1.0,1,300,0.015285667154899402,0.05625,94
